year,ami_pct,smi_pct,ami_millions,source
2008,19.5,3.7,45.1,SAMHSA NSDUH
2009,19.9,3.7,45.9,SAMHSA NSDUH
2010,19.9,4.1,46.0,SAMHSA NSDUH
2011,19.6,3.9,45.6,SAMHSA NSDUH
2012,18.6,4.1,43.7,SAMHSA NSDUH
2013,18.5,4.2,43.8,SAMHSA NSDUH
2014,18.1,4.1,43.6,SAMHSA NSDUH
2015,17.9,4.0,43.4,SAMHSA NSDUH
2016,18.3,4.2,44.7,SAMHSA NSDUH
2017,18.9,4.5,46.6,SAMHSA NSDUH
2018,19.1,4.6,47.6,SAMHSA NSDUH
2019,19.9,5.2,51.5,SAMHSA NSDUH
2020,20.6,5.6,52.9,SAMHSA NSDUH
2021,22.8,5.5,57.8,SAMHSA NSDUH
2022,23.1,5.5,59.3,SAMHSA NSDUH
2023,22.8,5.8,59.3,SAMHSA NSDUH
2024,23.4,5.6,61.5,SAMHSA NSDUH
