year,ami_pct,received_treatment_pct,unmet_need_pct,source
2008,19.5,38.5,61.5,SAMHSA NSDUH
2009,19.9,39.2,60.8,SAMHSA NSDUH
2010,19.9,39.6,60.4,SAMHSA NSDUH
2011,19.6,40.0,60.0,SAMHSA NSDUH
2012,18.6,40.5,59.5,SAMHSA NSDUH
2013,18.5,42.7,57.3,SAMHSA NSDUH
2014,18.1,43.0,57.0,SAMHSA NSDUH
2015,17.9,43.1,56.9,SAMHSA NSDUH
2016,18.3,43.1,56.9,SAMHSA NSDUH
2017,18.9,42.6,57.4,SAMHSA NSDUH
2018,19.1,43.3,56.7,SAMHSA NSDUH
2019,19.9,44.8,55.2,SAMHSA NSDUH
2020,20.6,46.2,53.8,SAMHSA NSDUH
2021,22.8,47.2,52.8,SAMHSA NSDUH
2022,23.1,48.7,51.3,SAMHSA NSDUH
2023,22.8,54.9,45.1,SAMHSA NSDUH
